OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,GEOID_1,NAME_1,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,P2_001N,P2_002N,P2_003N,P2_004N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N,P2_012N,P2_013N,P2_014N,P2_015N,P2_016N,P2_017N,P2_018N,P2_019N,P2_020N,P2_021N,P2_022N,P2_023N,P2_024N,P2_025N,P2_026N,P2_027N,P2_028N,P2_029N,P2_030N,P2_031N,P2_032N,P2_033N,P2_034N,P2_035N,P2_036N,P2_037N,P2_038N,P2_039N,P2_040N,P2_041N,P2_042N,P2_043N,P2_044N,P2_045N,P2_046N,P2_047N,P2_048N,P2_049N,P2_050N,P2_051N,P2_052N,P2_053N,P2_054N,P2_055N,P2_056N,P2_057N,P2_058N,P2_059N,P2_060N,P2_061N,P2_062N,P2_063N,P2_064N,P2_065N,P2_066N,P2_067N,P2_068N,P2_069N,P2_070N,P2_071N,P2_072N,P2_073N,ShapeSTArea,ShapeSTLength
71,31,109,003607,31109003607,36.07,Census Tract 36.07,G5020,S,2187520,0,+40.7327308,-096.6917005,1400000US31109003607,31109003607,"Census Tract 36.07, Lancaster County, Nebraska",4585,4321,3685,142,11,396,3,84,264,246,55,26,61,4,93,0,2,0,0,0,0,4,0,1,0,17,7,0,0,5,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4585,249,4336,4155,3604,140,7,388,3,13,181,170,55,22,56,4,30,0,2,0,0,0,0,1,0,0,0,11,7,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23548740.4270885,19401.5180450733
72,31,109,003715,31109003715,37.15,Census Tract 37.15,G5020,S,2594575,0,+40.7335777,-096.6538898,1400000US31109003715,31109003715,"Census Tract 37.15, Lancaster County, Nebraska",2368,2256,2104,56,2,83,4,7,112,100,25,22,20,0,31,0,0,0,2,0,0,0,0,0,0,10,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2368,56,2312,2226,2082,53,1,83,2,5,86,75,23,21,18,0,11,0,0,0,2,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,27930710.2646123,21145.0271816173
73,31,109,003609,31109003609,36.09,Census Tract 36.09,G5020,S,2988839,0,+40.7472233,-096.6922199,1400000US31109003609,31109003609,"Census Tract 36.09, Lancaster County, Nebraska",2529,2393,2227,32,2,116,0,16,136,126,22,18,17,1,62,0,0,0,0,0,0,2,3,0,1,9,3,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529,85,2444,2367,2210,31,0,115,0,11,77,70,18,12,14,1,22,0,0,0,0,0,0,0,3,0,0,6,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32174969.4211835,22700.5384803515
74,31,109,001001,31109001001,10.01,Census Tract 10.01,G5020,S,1586768,0,+40.8316247,-096.6420678,1400000US31109001001,31109001001,"Census Tract 10.01, Lancaster County, Nebraska",3313,3021,2671,154,9,79,3,105,292,269,71,47,32,1,107,1,0,0,2,0,0,6,2,0,0,22,6,3,0,0,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313,269,3044,2848,2600,150,7,79,3,9,196,186,68,43,32,1,39,1,0,0,0,0,0,0,2,0,0,9,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17081665.7019979,18203.4177976344
75,31,109,003718,31109003718,37.18,Census Tract 37.18,G5020,S,20809253,0,+40.7842335,-096.5869595,1400000US31109003718,31109003718,"Census Tract 37.18, Lancaster County, Nebraska",3142,3028,2844,26,9,136,0,13,114,106,4,21,31,7,37,0,2,0,3,0,0,0,0,1,0,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3142,61,3081,2999,2830,25,9,135,0,0,82,77,4,21,26,7,15,0,2,0,1,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224012907.564386,63668.6704505986
76,31,109,001101,31109001101,11.01,Census Tract 11.01,G5020,S,3270154,0,+40.8428481,-096.6168108,1400000US31109001101,31109001101,"Census Tract 11.01, Lancaster County, Nebraska",4674,4363,4062,102,22,94,6,77,311,296,86,56,27,4,116,3,0,0,2,0,0,0,2,0,0,15,2,8,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4674,252,4422,4208,3980,100,16,94,6,12,214,200,77,51,27,4,36,3,0,0,0,0,0,0,2,0,0,14,2,8,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35203405.8355664,25460.4222704781
77,31,109,010202,31109010202,102.02,Census Tract 102.02,G5020,S,431582718,10535595,+40.9363947,-096.8058596,1400000US31109010202,31109010202,"Census Tract 102.02, Lancaster County, Nebraska",4821,4637,4473,33,16,52,2,61,184,177,25,64,21,1,56,3,1,2,2,0,0,0,0,2,0,7,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4821,128,4693,4563,4450,33,12,52,2,14,130,129,23,59,21,1,18,2,1,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4759438879.61412,332682.720085617
78,31,109,003302,31109003302,33.02,Census Tract 33.02,G5020,S,12771663,196989,+40.8217314,-096.7806641,1400000US31109003302,31109003302,"Census Tract 33.02, Lancaster County, Nebraska",5056,4622,3691,408,83,148,4,288,434,410,100,70,39,5,177,3,3,0,11,0,0,2,0,0,0,22,4,1,0,2,1,0,8,2,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5056,617,4439,4192,3561,393,63,147,4,24,247,239,91,69,39,5,24,3,3,0,5,0,0,0,0,0,0,8,4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139608308.102324,68268.9165076835
79,31,109,001003,31109001003,10.03,Census Tract 10.03,G5020,S,1440609,0,+40.8244662,-096.6431235,1400000US31109001003,31109001003,"Census Tract 10.03, Lancaster County, Nebraska",3590,3262,2720,127,56,183,5,171,328,317,79,61,22,10,140,1,0,0,2,0,0,2,0,0,0,11,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590,427,3163,2965,2612,124,24,183,3,19,198,188,69,47,22,10,36,1,0,0,1,0,0,2,0,0,0,10,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15508200.9224693,17317.41315431
80,31,109,002002,31109002002,20.02,Census Tract 20.02,G5020,S,556137,0,+40.8042050,-096.7055686,1400000US31109002002,31109002002,"Census Tract 20.02, Lancaster County, Nebraska",2405,2160,1345,332,50,131,5,297,245,230,38,50,12,0,124,4,1,0,0,0,0,0,0,1,0,15,6,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405,510,1895,1770,1264,328,31,131,3,13,125,116,37,41,11,0,21,4,1,0,0,0,0,0,0,1,0,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986894.52514525,10574.344311889
81,31,109,003719,31109003719,37.19,Census Tract 37.19,G5020,S,20793118,13262,+40.7258938,-096.5873431,1400000US31109003719,31109003719,"Census Tract 37.19, Lancaster County, Nebraska",6135,5829,5386,126,9,255,2,51,306,283,42,53,45,0,138,0,2,0,2,0,0,0,1,0,0,23,0,3,0,8,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6135,255,5880,5701,5307,122,7,254,2,9,179,173,40,43,45,0,42,0,2,0,0,0,0,0,1,0,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223982034.865772,63638.0900777453
