acs_release_year,acs_window,GEOID,NAME,median_household_income,poverty_rate_pct,renter_occupied_pct,age_65_plus_pct,elderly_living_alone_pct,disability_pct,nonwhite_pct,limited_english_households_pct,count_age_65_plus,count_elderly_living_alone,count_disabled,count_nonwhite,count_limited_english_households
2024,2020-2024,31109001101,Census Tract 11.01; Lancaster County; Nebraska,82578,2.42,25.26,20.25,21.99,11.09,15.35,0.0,946,208,518,717,0
2024,2020-2024,31109001102,Census Tract 11.02; Lancaster County; Nebraska,80893,2.76,21.88,16.31,40.56,8.01,8.49,0.0,540,219,265,281,0
2024,2020-2024,31109001200,Census Tract 12; Lancaster County; Nebraska,81042,5.75,32.33,14.08,23.94,13.22,14.68,1.58,919,220,863,958,40
2024,2020-2024,31109001301,Census Tract 13.01; Lancaster County; Nebraska,87436,4.2,28.86,36.78,31.49,16.56,7.37,0.44,1302,410,586,261,7
2024,2020-2024,31109001302,Census Tract 13.02; Lancaster County; Nebraska,101953,3.71,11.47,20.54,19.97,8.27,17.44,1.12,636,127,256,540,14
2024,2020-2024,31109001400,Census Tract 14; Lancaster County; Nebraska,61543,16.86,36.35,21.91,30.61,11.62,10.44,1.94,967,296,494,461,39
2024,2020-2024,31109001500,Census Tract 15; Lancaster County; Nebraska,67083,12.2,31.67,16.07,23.9,10.17,21.08,2.36,728,174,443,955,45
2024,2020-2024,31109001600,Census Tract 16; Lancaster County; Nebraska,70534,11.45,42.56,18.64,20.74,12.45,15.8,0.92,979,203,654,830,24
2024,2020-2024,31109001700,Census Tract 17; Lancaster County; Nebraska,31004,23.79,78.14,15.93,45.03,28.96,33.74,11.0,764,344,1387,1618,310
2024,2020-2024,31109001800,Census Tract 18; Lancaster County; Nebraska,26382,56.73,92.51,5.2,63.4,14.11,34.95,4.23,153,97,414,1028,57
2024,2020-2024,31109001900,Census Tract 19; Lancaster County; Nebraska,38099,55.32,88.52,6.4,48.53,15.08,17.59,0.0,136,66,320,374,0
2024,2020-2024,31109002001,Census Tract 20.01; Lancaster County; Nebraska,31080,25.85,95.02,8.97,64.62,26.82,38.28,7.9,212,137,633,905,122
2024,2020-2024,31109002002,Census Tract 20.02; Lancaster County; Nebraska,30673,38.41,95.27,7.26,65.22,15.64,38.27,3.89,207,135,446,1091,60
2024,2020-2024,31109002100,Census Tract 21; Lancaster County; Nebraska,39089,27.55,59.05,6.8,42.42,16.56,28.09,1.53,165,70,402,682,17
2024,2020-2024,31109002200,Census Tract 22; Lancaster County; Nebraska,63173,12.64,55.4,13.93,42.22,19.65,37.18,6.14,765,323,1035,2041,142
2024,2020-2024,31109002300,Census Tract 23; Lancaster County; Nebraska,70595,14.36,44.47,14.9,32.75,11.58,24.5,0.71,800,262,613,1315,18
2024,2020-2024,31109002400,Census Tract 24; Lancaster County; Nebraska,143371,2.37,3.44,19.0,35.14,6.23,5.68,0.0,592,208,194,177,0
2024,2020-2024,31109002500,Census Tract 25; Lancaster County; Nebraska,72649,10.03,18.49,21.7,26.01,10.57,24.36,3.05,1119,291,545,1256,74
2024,2020-2024,31109002701,Census Tract 27.01; Lancaster County; Nebraska,46090,19.38,71.31,12.48,70.08,14.81,19.78,3.18,371,260,439,588,42
2024,2020-2024,31109002702,Census Tract 27.02; Lancaster County; Nebraska,80551,6.83,31.36,18.66,27.9,16.67,15.49,2.06,1043,291,913,866,47
2024,2020-2024,31109002800,Census Tract 28; Lancaster County; Nebraska,89665,5.92,27.05,23.36,14.14,13.71,11.93,0.0,1167,165,685,596,0
2024,2020-2024,31109002900,Census Tract 29; Lancaster County; Nebraska,68603,14.9,73.48,9.43,38.9,5.12,25.04,5.24,545,212,296,1447,150
2024,2020-2024,31109003002,Census Tract 30.02; Lancaster County; Nebraska,52854,14.95,46.23,12.93,29.26,18.83,23.96,5.97,434,127,632,804,91
2024,2020-2024,31109003003,Census Tract 30.03; Lancaster County; Nebraska,57500,17.3,51.09,12.65,36.64,18.88,34.99,3.7,666,244,991,1842,78
2024,2020-2024,31109003004,Census Tract 30.04; Lancaster County; Nebraska,57702,10.33,41.65,27.85,48.77,15.79,14.17,1.23,857,418,486,436,19
2024,2020-2024,31109003005,Census Tract 30.05; Lancaster County; Nebraska,74863,19.35,21.45,18.55,34.74,12.54,22.01,2.45,760,264,514,902,38
2024,2020-2024,31109003102,Census Tract 31.02; Lancaster County; Nebraska,85994,4.01,35.75,5.83,15.66,6.75,14.29,0.0,332,52,384,813,0
